uid,area,outages,dt_stamp
206592023-12-04T14:15:35,20659,4,12/04/2023 02:15:35 PM
207112023-12-04T14:15:35,20711,4,12/04/2023 02:15:35 PM
207152023-12-04T14:15:35,20715,35,12/04/2023 02:15:35 PM
207212023-12-04T14:15:35,20721,4,12/04/2023 02:15:35 PM
207722023-12-04T14:15:35,20772,4,12/04/2023 02:15:35 PM
207742023-12-04T14:15:35,20774,4,12/04/2023 02:15:35 PM
208322023-12-04T14:15:35,20832,46,12/04/2023 02:15:35 PM
208372023-12-04T14:15:35,20837,4,12/04/2023 02:15:35 PM
208502023-12-04T14:15:35,20850,4,12/04/2023 02:15:35 PM
208862023-12-04T14:15:35,20886,4,12/04/2023 02:15:35 PM
210142023-12-04T14:15:35,21014,4,12/04/2023 02:15:35 PM
210302023-12-04T14:15:35,21030,4,12/04/2023 02:15:35 PM
211142023-12-04T14:15:35,21114,4,12/04/2023 02:15:35 PM
211172023-12-04T14:15:35,21117,4,12/04/2023 02:15:35 PM
211222023-12-04T14:15:35,21122,4,12/04/2023 02:15:35 PM
211312023-12-04T14:15:35,21131,4,12/04/2023 02:15:35 PM
212052023-12-04T14:15:35,21205,4,12/04/2023 02:15:35 PM
212062023-12-04T14:15:35,21206,4,12/04/2023 02:15:35 PM
212072023-12-04T14:15:35,21207,4,12/04/2023 02:15:35 PM
212112023-12-04T14:15:35,21211,4,12/04/2023 02:15:35 PM
212152023-12-04T14:15:35,21215,4,12/04/2023 02:15:35 PM
212162023-12-04T14:15:35,21216,4,12/04/2023 02:15:35 PM
212292023-12-04T14:15:35,21229,4,12/04/2023 02:15:35 PM
214012023-12-04T14:15:35,21401,4,12/04/2023 02:15:35 PM
217712023-12-04T14:15:35,21771,1,12/04/2023 02:15:35 PM
218012023-12-04T14:15:35,21801,1,12/04/2023 02:15:35 PM
218112023-12-04T14:15:35,21811,1,12/04/2023 02:15:35 PM
219212023-12-04T14:15:35,21921,4,12/04/2023 02:15:35 PM
206592023-12-04T14:30:34,20659,4,12/04/2023 02:30:34 PM
207112023-12-04T14:30:34,20711,4,12/04/2023 02:30:34 PM
207152023-12-04T14:30:34,20715,35,12/04/2023 02:30:34 PM
207212023-12-04T14:30:34,20721,4,12/04/2023 02:30:34 PM
207722023-12-04T14:30:34,20772,4,12/04/2023 02:30:34 PM
207742023-12-04T14:30:34,20774,4,12/04/2023 02:30:34 PM
208322023-12-04T14:30:34,20832,46,12/04/2023 02:30:34 PM
208502023-12-04T14:30:34,20850,4,12/04/2023 02:30:34 PM
208862023-12-04T14:30:34,20886,4,12/04/2023 02:30:34 PM
210142023-12-04T14:30:34,21014,4,12/04/2023 02:30:34 PM
210302023-12-04T14:30:34,21030,4,12/04/2023 02:30:34 PM
210852023-12-04T14:30:34,21085,4,12/04/2023 02:30:34 PM
211142023-12-04T14:30:34,21114,4,12/04/2023 02:30:34 PM
211172023-12-04T14:30:34,21117,4,12/04/2023 02:30:34 PM
211222023-12-04T14:30:34,21122,4,12/04/2023 02:30:34 PM
211312023-12-04T14:30:34,21131,4,12/04/2023 02:30:34 PM
212052023-12-04T14:30:34,21205,4,12/04/2023 02:30:34 PM
212062023-12-04T14:30:34,21206,4,12/04/2023 02:30:34 PM
212072023-12-04T14:30:34,21207,4,12/04/2023 02:30:34 PM
212112023-12-04T14:30:34,21211,4,12/04/2023 02:30:34 PM
212152023-12-04T14:30:34,21215,4,12/04/2023 02:30:34 PM
212162023-12-04T14:30:34,21216,4,12/04/2023 02:30:34 PM
212292023-12-04T14:30:34,21229,4,12/04/2023 02:30:34 PM
214012023-12-04T14:30:34,21401,4,12/04/2023 02:30:34 PM
218012023-12-04T14:30:34,21801,1,12/04/2023 02:30:34 PM
219212023-12-04T14:30:34,21921,4,12/04/2023 02:30:34 PM
206592023-12-04T14:45:35,20659,4,12/04/2023 02:45:35 PM
206622023-12-04T14:45:35,20662,1,12/04/2023 02:45:35 PM
207112023-12-04T14:45:35,20711,4,12/04/2023 02:45:35 PM
207212023-12-04T14:45:35,20721,4,12/04/2023 02:45:35 PM
207722023-12-04T14:45:35,20772,4,12/04/2023 02:45:35 PM
207742023-12-04T14:45:35,20774,18,12/04/2023 02:45:35 PM
208322023-12-04T14:45:35,20832,31,12/04/2023 02:45:35 PM
208502023-12-04T14:45:35,20850,4,12/04/2023 02:45:35 PM
208862023-12-04T14:45:35,20886,4,12/04/2023 02:45:35 PM
210142023-12-04T14:45:35,21014,4,12/04/2023 02:45:35 PM
210302023-12-04T14:45:35,21030,4,12/04/2023 02:45:35 PM
210852023-12-04T14:45:35,21085,4,12/04/2023 02:45:35 PM
210932023-12-04T14:45:35,21093,4,12/04/2023 02:45:35 PM
211142023-12-04T14:45:35,21114,4,12/04/2023 02:45:35 PM
211172023-12-04T14:45:35,21117,4,12/04/2023 02:45:35 PM
211222023-12-04T14:45:35,21122,4,12/04/2023 02:45:35 PM
212052023-12-04T14:45:35,21205,4,12/04/2023 02:45:35 PM
212062023-12-04T14:45:35,21206,4,12/04/2023 02:45:35 PM
212072023-12-04T14:45:35,21207,4,12/04/2023 02:45:35 PM
212112023-12-04T14:45:35,21211,4,12/04/2023 02:45:35 PM
212152023-12-04T14:45:35,21215,4,12/04/2023 02:45:35 PM
212162023-12-04T14:45:35,21216,4,12/04/2023 02:45:35 PM
207082023-11-15T18:15:37,20708,4,11/15/2023 06:15:37 PM
207372023-11-15T18:15:37,20737,4,11/15/2023 06:15:37 PM
207442023-11-15T18:15:37,20744,4,11/15/2023 06:15:37 PM
207702023-11-15T18:15:37,20770,4,11/15/2023 06:15:37 PM
210482023-11-15T18:15:37,21048,4,11/15/2023 06:15:37 PM
210752023-11-15T18:15:37,21075,4,11/15/2023 06:15:37 PM
207082023-11-17T13:45:36,20708,45,11/17/2023 01:45:36 PM
207832023-11-27T03:00:35,20783,4,11/27/2023 03:00:35 AM
210122023-11-27T03:00:35,21012,9,11/27/2023 03:00:35 AM
211312023-11-27T03:00:35,21131,4,11/27/2023 03:00:35 AM
212082023-11-27T03:00:35,21208,4,11/27/2023 03:00:35 AM
212132023-11-27T03:00:35,21213,4,11/27/2023 03:00:35 AM
212182023-11-27T03:00:35,21218,4,11/27/2023 03:00:35 AM
212262023-11-27T03:00:35,21226,4,11/27/2023 03:00:35 AM
214032023-11-27T03:00:35,21403,4,11/27/2023 03:00:35 AM
215502023-11-27T03:00:35,21550,1,11/27/2023 03:00:35 AM
207832023-11-27T03:15:34,20783,4,11/27/2023 03:15:34 AM
210122023-11-27T03:15:34,21012,9,11/27/2023 03:15:34 AM
211312023-11-27T03:15:34,21131,4,11/27/2023 03:15:34 AM
212082023-11-27T03:15:34,21208,4,11/27/2023 03:15:34 AM
212132023-11-27T03:15:34,21213,4,11/27/2023 03:15:34 AM
212182023-11-27T03:15:34,21218,4,11/27/2023 03:15:34 AM
212262023-11-27T03:15:34,21226,4,11/27/2023 03:15:34 AM
214032023-11-27T03:15:34,21403,4,11/27/2023 03:15:34 AM
215502023-11-27T03:15:34,21550,6,11/27/2023 03:15:34 AM
207832023-11-27T03:30:35,20783,4,11/27/2023 03:30:35 AM
210122023-11-27T03:30:35,21012,9,11/27/2023 03:30:35 AM
211312023-11-27T03:30:35,21131,4,11/27/2023 03:30:35 AM
207052023-11-28T23:00:37,20705,4,11/28/2023 11:00:37 PM
207072023-11-28T23:00:37,20707,4,11/28/2023 11:00:37 PM
207552023-11-28T23:00:37,20755,4,11/28/2023 11:00:37 PM
207642023-11-28T23:00:37,20764,4,11/28/2023 11:00:37 PM
208502023-11-28T23:00:37,20850,13,11/28/2023 11:00:37 PM
208522023-11-28T23:00:37,20852,4,11/28/2023 11:00:37 PM
208742023-11-28T23:00:37,20874,4,11/28/2023 11:00:37 PM
209062023-11-28T23:00:37,20906,4,11/28/2023 11:00:37 PM
210462023-11-28T23:00:37,21046,4,11/28/2023 11:00:37 PM
210612023-11-28T23:00:37,21061,4,11/28/2023 11:00:37 PM
210852023-11-28T23:00:37,21085,4,11/28/2023 11:00:37 PM
211172023-11-28T23:00:37,21117,4,11/28/2023 11:00:37 PM
211222023-11-28T23:00:37,21122,4,11/28/2023 11:00:37 PM
211322023-11-28T23:00:37,21132,4,11/28/2023 11:00:37 PM
211572023-11-28T23:00:37,21157,4,11/28/2023 11:00:37 PM
212042023-11-28T23:00:37,21204,28,11/28/2023 11:00:37 PM
212082023-11-28T23:00:37,21208,4,11/28/2023 11:00:37 PM
212122023-11-28T23:00:37,21212,4,11/28/2023 11:00:37 PM
212162023-11-28T23:00:37,21216,59,11/28/2023 11:00:37 PM
212222023-11-28T23:00:37,21222,4,11/28/2023 11:00:37 PM
212242023-11-28T23:00:37,21224,4,11/28/2023 11:00:37 PM
212292023-11-28T23:00:37,21229,55,11/28/2023 11:00:37 PM
211442023-11-15T18:15:37,21144,4,11/15/2023 06:15:37 PM
212212023-11-15T18:15:37,21221,4,11/15/2023 06:15:37 PM
207322023-11-17T13:45:36,20732,4,11/17/2023 01:45:36 PM
207702023-11-17T13:45:36,20770,4,11/17/2023 01:45:36 PM
212222023-11-15T18:15:37,21222,4,11/15/2023 06:15:37 PM
212242023-11-15T18:15:37,21224,4,11/15/2023 06:15:37 PM
