Fips_Code,County,Cox,Moore,Lashar,Wallace,Harding,Write-ins,Moore_Percentage
24001,Allegany,13833,6390,279,143,267,0,0.6432868636594263
24003,Anne Arundel,72806,83643,3446,948,1247,0,8.420413636473459
24510,Baltimore City,11140,107563,1237,1180,1391,0,10.828460863192312
24005,Baltimore County,76242,117356,3636,1482,2200,0,11.814330699783357
24009,Calvert,18447,14236,504,142,242,0,1.4331505150321744
24011,Caroline,6727,3276,176,56,140,0,0.32979777235497354
24013,Carroll,38969,25155,1515,436,561,0,2.5323757520114043
24015,Cecil,18159,8691,472,155,311,0,0.8749305370992293
24017,Charles,15096,33633,408,283,414,0,3.3858633936553186
24019,Dorchester,6169,4341,139,69,157,0,0.4370122496315446
24021,Frederick,40178,38581,1456,468,606,0,3.883982861790975
24023,Garrett,8195,2402,194,52,138,0,0.2418114313787077
24025,Harford,51065,38139,1948,598,886,0,3.839486336949431
24027,Howard,33110,83690,2464,802,713,0,8.425145167395524
24029,Kent,3718,4256,106,56,93,0,0.4284552256235554
24031,Montgomery,54968,191695,3013,2146,1551,0,19.29810255542938
24033,Prince George's,16903,161692,999,1593,1888,0,16.277674422350543
24035,Queen Anne's,12840,8577,416,120,212,0,0.8634540578414556
24037,Saint Mary's,20279,13291,661,253,346,0,1.3380165422374706
24039,Somerset,3974,2254,67,46,81,0,0.22691214251773822
24041,Talbot,7497,7989,289,70,128,0,0.8042595858803063
24043,Washington,26943,15723,614,252,472,0,1.582848099736645
24045,Wicomico,14612,12213,388,171,358,0,1.2294933436420306
24047,Worcester,13433,8550,273,121,161,0,0.8607359443330354
